,Player,Pos,Age,Tm,G,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,PTS
263,Jerami Grant,PF,27,DET,47,0.426,0.358,0.465,0.838,0.6,3.5,2.4,0.9,1.0,19.2
264,Hassani Gravett,PG,25,ORL,8,0.474,0.423,0.583,0.75,0.1,2.5,2.5,0.6,0.1,6.3
265,Danny Green,SF,34,PHI,62,0.394,0.38,0.469,0.786,0.5,2.0,1.0,1.0,0.6,5.9
266,Draymond Green,PF,31,GSW,46,0.525,0.296,0.586,0.659,1.0,6.3,7.0,1.3,1.1,7.5
267,Jalen Green,SG,19,HOU,67,0.426,0.343,0.502,0.797,0.5,2.9,2.6,0.7,0.3,17.3
268,JaMychal Green,PF,31,DEN,67,0.486,0.266,0.621,0.871,1.2,3.0,0.9,0.6,0.4,6.4
269,Javonte Green,SF,28,CHI,65,0.542,0.356,0.625,0.833,1.4,2.8,0.9,1.0,0.5,7.2
270,Jeff Green,C,35,DEN,75,0.524,0.315,0.62,0.833,0.5,2.5,1.3,0.4,0.4,10.3
271,Josh Green,SG,21,DAL,67,0.508,0.359,0.573,0.689,0.8,1.6,1.2,0.7,0.2,4.8
272,Blake Griffin,PF,32,BRK,56,0.425,0.262,0.565,0.724,1.1,3.0,1.9,0.5,0.3,6.4
273,Quentin Grimes,SG,21,NYK,46,0.404,0.381,0.5,0.684,0.5,1.5,1.0,0.7,0.2,6.0
274,Kyle Guy,SG,24,MIA,19,0.4,0.35,0.48,0.667,0.2,0.7,0.9,0.4,0.1,3.9
275,Rui Hachimura,PF,23,WAS,42,0.491,0.447,0.512,0.697,0.6,3.2,1.1,0.5,0.2,11.3
276,Tyrese Haliburton,SG-PG,21,TOT,77,0.473,0.414,0.517,0.842,0.8,3.2,8.2,1.7,0.6,15.3
279,Tyler Hall,SG,24,NYK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,R.J. Hampton,SG,20,ORL,64,0.383,0.35,0.405,0.641,0.4,2.7,2.5,0.7,0.2,7.6
281,Tim Hardaway Jr.,SG,29,DAL,42,0.394,0.336,0.473,0.757,0.3,3.4,2.2,0.9,0.1,14.2
282,James Harden,PG-SG,32,TOT,65,0.41,0.33,0.476,0.877,0.8,6.8,10.3,1.3,0.6,22.0
285,Maurice Harkless,SF,28,SAC,47,0.459,0.307,0.65,0.714,0.3,2.1,0.5,0.6,0.5,4.6
286,Jared Harper,PG,24,NOP,5,0.538,0.417,0.643,1.0,0.4,0.0,2.8,0.8,0.2,7.4
287,Montrezl Harrell,C,28,TOT,71,0.645,0.235,0.658,0.716,2.1,4.0,2.0,0.4,0.6,13.1
